dep_delay,arr_delay,taxi_out,distance,air_time,Cluster
4.0,0.0,15.0,255.0,42.0,2
3.0,-5.0,14.0,854.0,135.0,2
-7.0,-15.0,10.0,946.0,123.0,2
-9.0,-15.0,12.0,3329.0,364.0,0
0.0,-9.0,10.0,604.0,82.0,2
-5.0,1.0,20.0,363.0,61.0,2
-5.0,-16.0,12.0,328.0,57.0,2
-10.0,-9.0,16.0,719.0,95.0,2
-10.0,-26.0,9.0,846.0,111.0,2
-14.0,-30.0,10.0,500.0,63.0,2
-6.0,-14.0,13.0,142.0,36.0,2
-12.0,-4.0,14.0,227.0,44.0,2
-3.0,17.0,36.0,783.0,102.0,1
-6.0,-17.0,15.0,1242.0,155.0,2
4.0,2.0,19.0,460.0,71.0,2
-5.0,-19.0,32.0,2475.0,277.0,0
2.0,5.0,20.0,534.0,79.0,2
21.0,12.0,10.0,721.0,101.0,2
-8.0,10.0,20.0,364.0,58.0,2
1.0,-4.0,14.0,387.0,62.0,2
122.0,174.0,71.0,479.0,74.0,1
-8.0,-14.0,14.0,345.0,54.0,2
-8.0,-8.0,9.0,784.0,118.0,2
-10.0,-7.0,11.0,84.0,36.0,2
93.0,98.0,17.0,370.0,61.0,1
-8.0,-12.0,13.0,842.0,120.0,2
-6.0,-10.0,31.0,612.0,86.0,2
50.0,40.0,12.0,612.0,89.0,2
-5.0,-23.0,10.0,1014.0,118.0,2
20.0,-1.0,10.0,417.0,61.0,2
-8.0,-13.0,12.0,958.0,147.0,2
-4.0,-16.0,20.0,862.0,120.0,2
-2.0,-5.0,11.0,449.0,65.0,2
110.0,105.0,12.0,883.0,117.0,1
4.0,4.0,13.0,1133.0,167.0,2
-12.0,-20.0,10.0,151.0,35.0,2
2.0,-5.0,17.0,431.0,64.0,2
-7.0,-20.0,9.0,371.0,63.0,2
-5.0,-12.0,11.0,521.0,79.0,2
-2.0,-16.0,10.0,1587.0,178.0,0
-13.0,-8.0,14.0,806.0,119.0,2
-3.0,-26.0,11.0,554.0,78.0,2
10.0,6.0,11.0,414.0,66.0,2
16.0,8.0,13.0,1448.0,178.0,0
-3.0,-12.0,15.0,577.0,74.0,2
-1.0,7.0,30.0,553.0,79.0,2
61.0,73.0,27.0,192.0,54.0,1
-1.0,-19.0,19.0,1005.0,138.0,2
-9.0,-9.0,15.0,2404.0,308.0,0
-7.0,-21.0,16.0,175.0,34.0,2
5.0,73.0,58.0,1576.0,200.0,1
-10.0,1.0,30.0,908.0,136.0,2
-11.0,-7.0,17.0,328.0,61.0,2
-2.0,-4.0,14.0,954.0,159.0,2
-5.0,-2.0,20.0,601.0,92.0,2
-8.0,0.0,25.0,802.0,118.0,2
-7.0,-16.0,12.0,775.0,113.0,2
4.0,-9.0,12.0,1790.0,237.0,0
-1.0,-2.0,26.0,563.0,96.0,2
-3.0,22.0,56.0,1389.0,217.0,1
15.0,2.0,15.0,140.0,32.0,2
-4.0,-20.0,14.0,145.0,25.0,2
8.0,1.0,24.0,1235.0,150.0,2
4.0,-14.0,10.0,1096.0,145.0,2
-4.0,-26.0,11.0,2475.0,280.0,0
-11.0,-12.0,15.0,129.0,25.0,2
12.0,22.0,12.0,473.0,87.0,2
-1.0,-3.0,15.0,861.0,116.0,2
35.0,27.0,28.0,760.0,109.0,1
0.0,-6.0,27.0,1620.0,190.0,0
-4.0,-15.0,12.0,601.0,101.0,2
-5.0,-1.0,10.0,569.0,94.0,2
-8.0,-16.0,12.0,849.0,133.0,2
2.0,-4.0,9.0,216.0,33.0,2
-10.0,-29.0,24.0,665.0,93.0,2
-1.0,14.0,18.0,849.0,142.0,2
37.0,17.0,24.0,899.0,113.0,2
-10.0,-21.0,14.0,198.0,36.0,2
-11.0,-17.0,16.0,719.0,120.0,2
20.0,19.0,26.0,1399.0,167.0,0
-2.0,-15.0,13.0,532.0,79.0,2
121.0,117.0,15.0,500.0,79.0,1
-8.0,23.0,31.0,1258.0,187.0,0
